17:09:45.888 server/routes.ts(770,7): error TS2339: Property 'post' does not exist on type 'Express'.
17:09:45.888 server/routes.ts(770,42): error TS7006: Parameter 'req' implicitly has an 'any' type.
17:09:45.888 server/routes.ts(770,47): error TS7006: Parameter 'res' implicitly has an 'any' type.
17:09:45.888 server/routes.ts(859,7): error TS2339: Property 'post' does not exist on type 'Express'.
17:09:45.888 server/routes.ts(859,48): error TS7006: Parameter 'req' implicitly has an 'any' type.
17:09:45.889 server/routes.ts(859,53): error TS7006: Parameter 'res' implicitly has an 'any' type.
17:09:45.889 server/routes.ts(913,7): error TS2339: Property 'post' does not exist on type 'Express'.
17:09:45.889 server/routes.ts(913,50): error TS7006: Parameter 'req' implicitly has an 'any' type.
17:09:45.889 server/routes.ts(913,55): error TS7006: Parameter 'res' implicitly has an 'any' type.
17:09:45.889 server/routes.ts(963,7): error TS2339: Property 'post' does not exist on type 'Express'.
17:09:45.889 server/routes.ts(963,51): error TS7006: Parameter 'req' implicitly has an 'any' type.
17:09:45.889 server/routes.ts(963,56): error TS7006: Parameter 'res' implicitly has an 'any' type.
17:09:45.889 server/routes.ts(1026,7): error TS2339: Property 'post' does not exist on type 'Express'.
17:09:45.889 server/routes.ts(1026,61): error TS7006: Parameter 'req' implicitly has an 'any' type.
17:09:45.889 server/routes.ts(1026,66): error TS7006: Parameter 'res' implicitly has an 'any' type.
17:09:45.889 server/routes.ts(1065,7): error TS2339: Property 'post' does not exist on type 'Express'.
17:09:45.889 server/routes.ts(1065,35): error TS7006: Parameter 'req' implicitly has an 'any' type.
17:09:45.889 server/routes.ts(1065,40): error TS7006: Parameter 'res' implicitly has an 'any' type.
17:09:45.889 server/routes.ts(1112,7): error TS2339: Property 'get' does not exist on type 'Express'.
17:09:45.889 server/routes.ts(1112,49): error TS7006: Parameter 'req' implicitly has an 'any' type.
17:09:45.889 server/routes.ts(1112,54): error TS7006: Parameter 'res' implicitly has an 'any' type.
17:09:45.889 server/routes.ts(1163,7): error TS2339: Property 'post' does not exist on type 'Express'.
17:09:45.889 server/routes.ts(1163,54): error TS7006: Parameter 'req' implicitly has an 'any' type.
17:09:45.889 server/routes.ts(1163,59): error TS7006: Parameter 'res' implicitly has an 'any' type.
17:09:45.889 server/routes.ts(1215,7): error TS2339: Property 'post' does not exist on type 'Express'.
17:09:45.889 server/routes.ts(1215,44): error TS7006: Parameter 'req' implicitly has an 'any' type.
17:09:45.889 server/routes.ts(1215,49): error TS7006: Parameter 'res' implicitly has an 'any' type.
17:09:45.890 server/routes.ts(1264,7): error TS2339: Property 'get' does not exist on type 'Express'.
17:09:45.890 server/routes.ts(1264,54): error TS7006: Parameter 'req' implicitly has an 'any' type.
17:09:45.890 server/routes.ts(1264,59): error TS7006: Parameter 'res' implicitly has an 'any' type.
17:09:45.890 server/routes.ts(1289,7): error TS2339: Property 'post' does not exist on type 'Express'.
17:09:45.890 server/routes.ts(1289,39): error TS7006: Parameter 'req' implicitly has an 'any' type.
17:09:45.891 server/routes.ts(1289,44): error TS7006: Parameter 'res' implicitly has an 'any' type.
17:09:45.891 server/routes.ts(1290,26): error TS7006: Parameter 'err' implicitly has an 'any' type.
17:09:45.891 server/routes.ts(1299,7): error TS2339: Property 'post' does not exist on type 'Express'.
17:09:45.891 server/routes.ts(1299,85): error TS7006: Parameter 'req' implicitly has an 'any' type.
17:09:45.891 server/routes.ts(1299,90): error TS7006: Parameter 'res' implicitly has an 'any' type.
17:09:45.891 server/routes.ts(1324,7): error TS2339: Property 'get' does not exist on type 'Express'.
17:09:45.892 server/routes.ts(1324,52): error TS7006: Parameter 'req' implicitly has an 'any' type.
17:09:45.892 server/routes.ts(1324,57): error TS7006: Parameter 'res' implicitly has an 'any' type.
